50,Brooklyn Basin (formerly Oak to Ninth Mixed Use),"Oakland Harbor Partners, LLC
Patrick Van Ness
(925) 463-1122","64.2 acre waterfront site bounded by Fallon Street, Embarcadero Road, 10th Ave., and the Oakland Estuary
APN: 0430-001-02, 0430-001-04 (por), 0460-003,004,0465-002, 0470-002 (por).",3 & 2,"§General Plan Amendment from
§Central City East Redevelopment Plan Amendment and Central District Urban Renewal Plan Amendment
§New Planned Waterfront Zoning District 
§Zoning Map Amendments
§3,100 residential units
§200,000 sq.ft. commercial
§3,950 structured parking spaces
§29.9 acres public open space
§2 renovated marinas; 170 boat slips
§wetlands restoration area","Catherine Payne
238-6168","DEIR published 09/01/05.  FEIR published 02/01/06.Planning Commission approval and certification of FEIR 03/15/06. Appeal filed 3/24/06. City Council denial of the appeal and approval of the project, amendments, rezoning 06/20/06 and 07/18/06.Revised EIR published 09/30/08. Revised EIR certified by City Council on 1/20/09."
51,Mandela Transit Village ,"Capital Stone Group
Dr. Thomas Casey
(510) 689-8094","1357 5th Street
APN 018-0390-010-07",3,"§120 residential units
§38,500 sq.ft. commercial ","Darin Ranelletti
238-3663",Planning Commission approval 8/6/03.  Planning Commission re-approval 2/18/09. Extension granted 02/18/10 until 12/31/11.
,PROJECT NAME,APPLICANT CONTACT,LOCATION                 (ADDRESS AND/OR APN),COUNCIL DISTRICT,DESCRIPTION,CITY CONTACT,STATUS
MIXED-USE PROJECTS,,,,,,,
Projects Under Construction,,,,,,,
52,Macarthur BART Transit Village,"Macarthur Transit Community Partners, LLC
 Deborah Castles 
(510) 273-2002","7 acre site located between Telegraph, 40th, and Macarthur and Highway 24",1,"§624 residential units
§42,500 sq.ft. retail/commercial 
§Estimated 18 million dollars project cost ","Catherine Payne
238-6168
",Planning Commission approval and certification of the FEIR 06/04/08. City Council approval of the Rezoning 07/15/08. Owner Participation Agreement and Development Agreement approval by City Council 07/21/09. Stage 1 FDP  City Council approval 12/21/10. Stage 2 FDP application filed 12/17/10. Planning Commission approval Stage 2 FDP 04/06/11. City Council approval of Stage 2 FDP 05/17/11. Building permit #B1300446 granted on 9/16/2013. Phase I under construction.
,PROJECT NAME,APPLICANT CONTACT,LOCATION                 (ADDRESS AND/OR APN),COUNCIL DISTRICT,DESCRIPTION,CITY CONTACT,STATUS
"COMMERCIAL, INDUSTRIAL, CIVIC PROJECTS",,,,,,,
Pre-Application Discussions,,,,,,,
53,~3431 Foothill Blvd,Tania Philips                                                                                                        Philips/Perkins Eastman                                         (415) 926-7909,3431 Foothill Blvd                                                                              APN: 033-2127-015-01,5,"§50,000 sq.ft. of Assisted Senior Complex","Aubrey Rose
238-2071",Pre-application filed.
54,Skilled Nursing Facility/ Medical Office/ Retail Sales,"John Nguyen
(510)538-9991
","1230 37th Ave
APN: 033-2156-023
",5,"§47,6700 sq.ft. of skilled Nursing Home Facility
§13,334 sq.ft. medical office                                                                                      §3,316 sq.ft. retail
","Neil Gray
(510)238-3878
",Pre-application filed.
55,Spanish Speaking Citizens Foundation,"Joe DeCredico
(510)883-1521","1470 Fruitvale Ave
APN: 033 -2121-023-00
          ",5,"§40,000 sq.ft. civic building ","Neil Gray
(510)238-3878",Pre-application filed.
Application Submitted - Under Review ,,,,,,,
56,~2134 Broadway,Ben Hidalfo                    Fougeron Architects                       (415)641-5744,2134 Broadway                                          APN:008-0650-001-00,3,"§ Addition of 1 story to  a 3 story commercial building                                                                §29,000 sq.ft. new commercial                                            §New habitable area in basement                                                               ","Mike Rivera
238-6417",Application filed.
57,Head Royce School,"Dennis Malone
(510) 531-1300","4315 Lincoln Ave.
APN: 029A-1367-006-01",4,§Amendments to the PUD                                                                  ,"Heather Klein
238-3659",Application filed. 
58,Children's Hospital,"Doug Nelson
(510) 428-3066","5714 Martin Luther King Jr. Way
Bounded by Martin Luther King Jr. Way, 53rd St, and Highway 24.
APN: multiple",2,"Demolition of 2-residences, trailers, and helipad structure
Construction of:
§90,000 sq.ft. out-patient building 
§4,800 sq.ft. central plant
§14,500 sq.ft. family residence
§27,000 sq.ft. clinical building
§43,000 sq.ft.link building
§101,000 sq.ft. Acute Care Pavilion
§4 level parking structure with 334 stalls 
§Interior renovations","Heather Klein
238-3659",Application filed. NOP published on 7/26/13. Environmental Scoping Session before LPAB on 8/12/2013. Planning Commission hearing on 8/28/2013.Design Review hearing before LPAB on 11/18/2013. Design Review Committee Hearing on 11/20/2013. DEIR preparation underway.
59,1800 San Pablo,"Sid Afshar                                              Sunfield Development LLC                             
(510) 452-5555","1800 San Pablo Ave
APN: 008 -0642-006-00
",3,"§120,000 sq.ft. commercial
§309 auto fee parking spaces","Lynn Warner
238-6983",NOP published 10/7/11.DEIR published 7/6/12. FSEIR certified 1/14/12. Project has not been approved.
60,~Shops at Broadway,"Lowney Architects
Daniel Backman
(510)836-5400","3001-3039 Broadway
APN: 009 -0705-004-00, 009 -0705-005-00,       009 -0705-007-00",3,"§39,000 sq.ft. retail                             § Estimated 5.2 million dollar project cost.
","Peterson Vollmann
238-6167
", NOP published 07/27/12. Project approved and FEIR certified  12/18/2013. Building permit # B1304954 filed.
,PROJECT NAME,APPLICANT CONTACT,LOCATION                 (ADDRESS AND/OR APN),COUNCIL DISTRICT,DESCRIPTION,CITY CONTACT,STATUS
"COMMERCIAL, INDUSTRIAL, CIVIC PROJECTS",,,,,,,
Application Approved,,,,,,,
61,~Safeway (Broadway @ Pleasant Valley),"Project Development Centers                                
Alvin B. Chan, Inc.
(925) 738-1400","5050-5100 Broadway
APN: 014-1242-002-03, 014-1242-005-07",1,"§Redevelopment of existing shopping center with new 331,000 sq.ft. shopping center","Darin Ranelletti
238-3663", NOP published 06/26/09.  DEIR published 01/11/13. Planning Commission approval and certification of FEIR 9/25/13.
62,~Oakland Zoo (Master Plan Amendment): Phase II,"East Bay Zoological Society
Nik Haas-Dejehia
(510) 623-9525 x138","9777 Golf Links Rd
APN - multiple",7,§Revisions to the Oakland Zoo Master Plan previously approved in 1998,"Darin Ranelletti
238-3663",Approved on 6/21/2011. Phase I (Veterinary Hospital) completed in year 2013. Phase II (California Exhibit) approved. 
63,St. John's Episcopal Church Parking and New Sanctuary,"St. John's Episcopal Church
Jerry Moran
(510)557-1015","5928 Thornhill Dr, 1707 Gouldin Rd
APN: 048F-7390-003-03
048F-7390-004-09",4,"§Demolition of house at 5928 Thornhill Drive
§new access bridge over creek
§creek rehabilitation/bank stabilization 
§5,500 sq.ft. sanctuary","Caesar Quitevis 
238-6343", NOP and Initial Study published 03/06/08. DEIR published 11/17/10. FEIR published 5/23/12. Planning Commission approval and certification of  FEIR 6/6/12. Easement proposals between applicant and appellant neighbors filed with City.
64,City Center T5/T6 (2005),"Shorenstein Realty Investors
Nick Loukianoff
(415) 772-7062
","11th/12th/Clay/Broadway
APN: 002-0097-038-00 through 002-0097-040-00
",3,"§600,000 sq.ft. office
§7,500 sq.ft. commercial
","Patrick Lane
238-7362
",Planning Commission approval of PPUD 4/00.  
65,Replacement of Embarcadero Bridge,"City of Oakland
Nader Rabahat
(510)238-6605","80 Fallon Street, 1 5th Ave
APN: 000O-0430-001-04
000O-0430-001-02       ",5,§Replacement of the Embarcadero Bridge over Lake Merritt Channel ,"Michael Bradley
238-6935",Creek Protection Permit approved 01/03/11.
66,City Center T12 (2005)*,"Shorenstein Realty Investors
Tom Hart
(415) 772-7000
","11th/12th/MLK/Jefferson
APN: 002-0027-007-00
",3,"§Revision in program from 450 residential units to 600,000 S.F. office.","Lynn Warner
238-6983",Revision from residential units to office square footage. Planning Commission approval and Addendum certification 12/05/07. Building permit #B0803952. Project stopped construction. Redevelopment Agency in the process of  renegotiating City Center DDA extending the completion requirements.
67,~1100 Broadway,"SKS Investments                            Steven Wolmark
(415)421-8200","1100 Broadway
APN:002-0051-006-02",2,"§Rehabilitation of the Key System Building
§310,285  sq.ft. of office
§9,810 sq.ft. of retail.","Heather Klein
238-3659",Planning Commission approval and Addendum certification 02/13/08.  Extension granted 02/14 until 12/31/14.
